# nkptgw: 4  neig: 175 
# E(DFT) E(GW)
-3.584 -4.495
-3.485 -3.869
-3.336 -3.736
-3.191 -3.495
-3.181 -3.486
-3.168 -3.472
-3.155 -3.460
-3.038 -3.423
-3.033 -3.419
-2.694 -3.118
-2.368 -2.759
-2.314 -2.708
-2.285 -2.672
-2.277 -2.657
-2.263 -2.650
-2.249 -2.641
-2.219 -2.602
-2.148 -2.784
-2.050 -2.437
-2.014 -2.406
-1.976 -2.359
-1.961 -2.345
-1.725 -2.070
-1.715 -2.058
-1.579 -1.967
-1.446 -1.818
-1.370 -1.749
-1.353 -1.731
-1.121 -1.491
-0.924 -1.304
-0.779 -1.123
-0.769 -1.116
-0.758 -1.107
-0.749 -1.100
-0.743 -1.095
-0.714 -1.065
-0.685 -1.037
-0.634 -0.978
-0.615 -0.963
-0.597 -0.953
-0.587 -0.933
-0.575 -0.925
-0.560 -0.908
-0.552 -0.907
-0.468 -0.834
-0.380 -0.736
-0.175 -0.319
0.071 -0.046
0.126 0.017
0.193 0.091
0.201 0.100
0.252 0.137
0.269 0.169
0.397 0.297
0.411 0.308
0.432 0.327
0.438 0.330
0.462 0.319
0.576 0.468
0.614 0.489
0.687 0.591
0.721 0.635
0.748 0.661
0.770 0.683
0.810 0.723
0.846 0.761
0.923 0.827
0.936 0.840
0.959 0.862
1.258 1.211
1.303 1.231
1.319 1.245
1.343 1.273
1.418 2.718
1.478 1.551
1.539 1.481
1.566 1.505
1.586 1.519
1.764 1.673
1.883 2.730
1.984 1.877
2.036 1.964
2.115 2.230
2.143 2.118
2.168 2.132
2.177 2.123
2.184 2.115
2.195 2.137
2.222 2.138
2.258 2.227
2.317 2.614
2.327 2.394
2.484 2.567
2.492 2.447
2.507 2.469
2.539 2.466
2.552 2.480
2.716 2.653
2.786 2.722
2.842 2.770
2.866 2.781
2.925 2.952
-20.567 -22.648
-20.157 -23.364
-17.834 -20.417
-15.729 -18.282
-14.985 -17.247
-12.649 -14.726
-12.133 -14.003
-10.652 -10.532
-10.593 -10.480
-10.447 -12.063
-10.399 -12.063
-9.736 -10.906
-9.650 -9.607
-9.619 -9.692
-9.368 -11.045
-9.148 -9.160
-9.138 -9.148
-9.093 -9.109
-9.073 -9.084
-8.375 -8.463
-8.365 -8.447
-8.209 -8.339
-8.159 -8.232
-8.146 -8.220
-8.131 -8.222
-8.110 -8.226
-8.102 -8.200
-7.964 -9.675
-7.672 -8.983
-7.529 -8.261
-7.399 -8.786
-7.393 -7.532
-7.365 -7.753
-6.899 -7.114
-6.886 -7.152
-6.880 -7.133
-6.875 -7.106
-6.862 -7.708
-6.722 -7.142
-6.627 -6.866
-6.624 -6.859
-6.610 -6.841
-6.348 -7.112
-6.050 -6.517
-5.956 -6.246
-5.935 -6.171
-5.921 -6.158
-5.909 -6.146
-5.900 -6.145
-5.887 -6.165
-5.873 -6.164
-5.562 -6.852
-4.916 -5.448
-4.735 -5.002
-4.708 -4.982
-4.675 -4.944
-4.641 -4.925
-4.517 -4.887
-4.512 -5.193
-4.485 -4.876
-4.479 -4.839
-4.439 -4.779
-4.435 -4.785
-4.432 -4.799
-4.413 -4.790
-3.974 -4.275
-3.967 -4.262
-3.895 -4.271
-3.807 -4.146
-3.786 -4.154
-3.766 -4.118
-3.751 -4.060
-3.716 -4.031
-3.583 -4.495
-3.552 -3.939
-3.435 -3.835
-3.055 -3.410
-3.040 -3.395
-2.788 -3.187
-2.701 -3.064
-2.690 -3.053
-2.686 -3.042
-2.618 -2.987
-2.565 -2.891
-2.557 -2.883
-2.533 -2.875
-2.523 -2.855
-2.504 -2.885
-2.414 -2.815
-2.284 -2.655
-2.267 -2.642
-2.241 -2.614
-2.195 -2.665
-2.151 -2.549
-2.096 -2.621
-2.041 -2.439
-2.014 -2.413
-1.944 -2.314
-1.924 -2.293
-1.910 -2.280
-1.909 -2.279
-1.638 -2.004
-1.626 -2.002
-1.611 -1.981
-1.511 -1.871
-1.420 -1.785
-1.413 -1.768
-1.396 -1.754
-1.359 -1.734
-1.312 -1.684
-1.268 -1.643
-1.044 -1.421
-0.665 -1.064
-0.508 -0.883
-0.440 -0.808
-0.431 -0.796
-0.267 -0.644
-0.229 -0.340
-0.190 -0.302
-0.070 -0.175
-0.044 -0.138
-0.015 -0.107
-0.005 -0.115
0.007 -0.092
0.119 0.013
0.127 0.027
0.192 0.093
0.259 0.144
0.327 0.228
0.391 0.301
0.549 0.422
0.651 0.525
0.703 0.564
0.792 0.676
0.840 0.744
0.911 0.807
1.097 0.995
1.132 1.023
1.402 2.725
1.594 1.709
1.639 1.590
1.681 1.704
1.744 1.672
1.765 1.975
1.888 1.841
1.971 1.928
1.977 1.929
1.980 1.989
1.984 2.313
2.034 1.949
2.058 2.065
2.065 2.035
2.076 1.997
2.158 2.284
2.175 2.225
2.220 2.169
2.259 2.285
2.298 2.221
2.350 2.280
2.365 2.291
2.374 2.305
2.400 2.323
2.475 2.419
2.550 2.486
2.581 2.517
2.605 2.587
2.608 2.545
2.644 2.834
2.727 2.664
2.762 2.694
2.825 2.731
2.836 2.749
2.858 2.773
2.902 2.813
2.956 2.873
-20.567 -22.653
-20.157 -23.348
-17.834 -20.401
-15.729 -18.283
-14.985 -17.237
-12.649 -14.726
-12.133 -14.004
-10.447 -12.061
-10.401 -12.043
-10.289 -10.208
-10.258 -10.170
-10.226 -10.146
-10.197 -10.112
-9.724 -11.117
-9.369 -11.014
-9.288 -9.267
-9.273 -9.249
-9.259 -9.243
-9.236 -9.224
-8.040 -8.185
-8.007 -8.116
-7.981 -8.084
-7.975 -8.084
-7.963 -9.648
-7.885 -8.110
-7.747 -7.898
-7.735 -7.896
-7.709 -7.958
-7.668 -8.836
-7.450 -8.337
-7.396 -8.810
-7.289 -7.442
-7.272 -7.423
-7.237 -7.390
-7.204 -7.373
-7.041 -7.258
-7.028 -7.199
-7.016 -7.181
-7.015 -7.179
-6.857 -8.070
-6.434 -7.217
-6.309 -6.516
-6.295 -6.504
-6.287 -6.497
-6.223 -6.625
-5.847 -6.281
-5.592 -6.014
-5.587 -5.963
-5.576 -6.048
-5.553 -6.395
-5.533 -5.834
-5.527 -5.833
-5.507 -5.809
-5.497 -5.806
-5.066 -5.320
-5.064 -5.320
-5.049 -5.307
-5.034 -5.288
-4.850 -5.238
-4.804 -5.126
-4.799 -5.126
-4.793 -5.119
-4.592 -5.507
-4.142 -4.489
-4.125 -4.453
-4.117 -4.444
-4.094 -4.419
-3.796 -4.199
-3.625 -3.926
-3.617 -3.922
-3.600 -3.906
-3.596 -3.903
-3.584 -4.495
-3.475 -3.850
-3.405 -3.783
-3.391 -3.769
-3.288 -3.670
-3.098 -3.494
-3.090 -3.488
-3.065 -3.467
-2.877 -3.248
-2.865 -3.232
-2.858 -3.228
-2.851 -3.221
-2.793 -3.178
-2.763 -3.149
-2.730 -3.122
-2.717 -3.109
-2.491 -2.859
-2.478 -2.844
-2.470 -2.834
-2.458 -2.819
-2.202 -2.883
-1.691 -2.086
-1.485 -1.824
-1.481 -1.818
-1.426 -1.762
-1.402 -1.746
-1.299 -1.666
-1.156 -1.533
-1.144 -1.514
-1.113 -1.488
-1.100 -1.471
-1.078 -1.454
-1.064 -1.444
-0.937 -1.300
-0.867 -1.244
-0.712 -1.059
-0.603 -0.948
-0.585 -0.931
-0.572 -0.920
-0.531 -0.890
-0.518 -0.876
-0.491 -0.846
-0.482 -0.834
-0.464 -0.817
-0.452 -0.806
-0.436 -0.794
-0.345 -0.710
-0.302 -0.689
-0.278 -0.680
-0.210 -0.343
-0.129 -0.231
-0.121 -0.227
-0.107 -0.211
0.193 0.094
0.251 0.167
0.283 0.199
0.292 0.201
0.373 0.265
0.464 0.392
0.479 0.404
0.491 0.414
0.516 0.435
0.825 0.736
0.973 0.899
0.983 0.908
1.014 0.933
1.037 0.964
1.069 0.980
1.098 1.009
1.113 1.025
1.309 1.512
1.354 1.572
1.479 2.372
1.660 1.592
1.676 1.624
1.689 1.626
1.718 1.650
1.772 1.726
1.802 1.747
1.819 1.739
1.838 1.751
1.900 1.981
1.936 1.864
1.968 1.944
2.002 2.311
2.009 2.221
2.050 1.972
2.060 1.982
2.071 1.998
2.172 2.187
2.207 2.088
2.252 2.131
2.267 2.168
2.278 2.176
2.300 2.223
2.360 3.008
2.559 2.682
2.585 2.458
2.711 2.660
2.841 2.793
2.874 2.806
2.884 2.817
2.948 2.875
